rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
1044,Eastern Connecticut State University,263839.5,63.1,29.4,1100.0,1100.0,56.0,77.0,9376.0,21113.9,89361.0,6.0,0.0,53,81.0,16,5287,4288
1045,Rockford University,263721.1,54.8,13.6,1653.1,1344.4,45.0,64.0,26710.0,16631.4,59778.0,21.0,1.0,61,76.3,10,1277,901
1046,University of Bridgeport,263669.7,60.7,14.8,1470.0,1224.2,30.0,67.0,29090.0,13998.3,81675.0,57.0,8.0,61,64.0,17,5191,2254
1047,William Penn University,263467.1,59.6,55.1,1100.0,1100.0,35.0,63.0,23210.0,12265.6,63486.0,57.0,6.0,50,76.3,17,1791,1493
1048,D'Youville College,263441.2,68.8,30.9,1697.4,1406.9,44.0,78.0,22850.0,17092.4,70641.0,7.0,2.0,70,66.0,9,3067,1505
1049,Indiana University-South Bend,263283.3,73.3,53.0,1565.1,1254.9,26.0,66.0,6816.0,8397.8,69516.0,2.0,1.0,62,58.0,13,7859,3857
1050,Eastern Oregon University,263264.8,64.2,31.8,1589.6,1244.7,34.0,58.0,7530.0,13018.8,67419.0,28.0,3.0,64,47.0,25,3653,1895
1051,Ithaca College,263230.1,59.1,14.5,1100.0,1100.0,78.0,85.0,38400.0,26902.7,100368.0,55.0,2.0,58,76.3,11,6587,6012
1052,University of the Virgin Islands,263076.2,97.1,53.8,1348.0,1029.2,26.0,75.0,4794.0,29958.3,73719.0,8.0,0.0,69,76.3,11,2280,1369
1053,Hope International University,262753.7,31.0,54.0,1449.1,1234.4,49.0,81.0,26050.0,13988.9,74187.0,13.0,1.0,56,76.3,14,1329,651
1054,Pfeiffer University,262640.7,47.2,30.1,1565.0,1280.0,35.0,66.0,24150.0,12676.7,56745.0,26.0,10.0,64,76.3,12,1784,844
1055,Inter American University of Puerto Rico-San German,262494.3,74.3,96.2,1100.0,1100.0,36.0,81.0,4660.0,4961.2,54576.0,0.0,0.0,55,86.0,25,5223,4003
1056,Truett-McConnell College,262484.4,96.3,44.3,1602.3,1291.9,22.0,67.0,16510.0,5884.4,41067.0,8.0,0.0,53,76.3,14,1681,752
1057,Lewis-Clark State College,262472.6,99.0,62.4,1540.0,1220.0,27.0,61.0,5786.0,9738.0,56268.0,17.0,2.0,61,47.0,16,4304,2436
1058,Salve Regina University,262469.1,71.0,18.4,1100.0,1100.0,67.0,84.0,34950.0,18036.5,94590.0,84.0,1.0,68,93.0,13,2739,1959
1059,Mercyhurst University,262226.4,80.3,29.1,1100.0,1100.0,68.0,80.0,30300.0,18281.7,97497.0,51.0,12.0,56,76.3,13,2871,2469
1060,Cabrini College,262180.9,75.3,23.5,1486.1,1193.5,50.0,77.0,29000.0,18452.0,83601.0,34.0,0.0,67,90.0,11,2203,1283
1061,Francis Marion University,262120.5,59.1,34.1,1533.0,1244.5,41.0,68.0,9386.0,15408.7,81900.0,4.0,2.0,70,76.3,15,3944,3168
1062,Texas Southern University,262074.5,51.9,29.2,1337.3,1100.0,16.0,53.0,7946.0,19393.4,96363.0,13.0,2.0,58,71.0,18,9233,5842
1063,Wilmington College,262034.6,95.4,19.8,1590.0,1290.0,47.0,68.0,28490.0,17242.1,56484.0,15.0,1.0,54,76.3,16,1200,1110
1064,Lake Forest College,261993.2,55.2,21.8,1100.0,1100.0,73.0,85.0,39842.0,26617.5,94914.0,35.0,15.0,57,97.0,12,1626,1589
1065,Mount Ida College,261882.0,68.5,26.0,1478.9,1170.0,41.0,68.0,29377.0,21303.5,70722.0,39.0,4.0,66,87.0,13,1320,1198
1066,Southwestern Assemblies of God University,261867.4,33.4,71.2,1100.0,1100.0,41.0,74.0,17830.0,11653.5,55917.0,34.0,0.0,51,76.3,16,1984,1445
1067,Mount Saint Joseph University,261767.2,87.6,33.6,1653.3,1337.0,53.0,67.0,25800.0,14936.7,75825.0,22.0,0.0,66,67.0,11,2219,1142
1068,Sacred Heart University,261763.5,57.2,26.6,1100.0,1100.0,67.0,82.0,35050.0,17212.5,109620.0,70.0,1.0,67,87.0,15,7781,4232
1069,St. Thomas Aquinas College,261743.7,80.8,18.2,1620.6,1269.0,57.0,77.0,26340.0,14018.7,97911.0,25.0,0.0,57,62.0,14,1942,1147
1070,Wright State University-Main Campus,261647.9,100.0,0.0,1100.0,1100.0,39.0,66.0,8542.0,21207.1,107343.0,3.0,2.0,52,78.0,22,16842,9937
1071,Limestone College,261577.1,52.0,29.1,1628.5,1419.6,28.0,60.0,22080.0,10762.6,64368.0,29.0,0.0,56,45.0,14,3214,2307
1072,Barry University,261524.3,46.1,13.2,1533.8,1264.9,36.0,62.0,28160.0,17005.6,89667.0,44.0,7.0,66,56.0,12,8518,3365
1073,Coppin State University,261397.8,43.1,16.1,1425.0,1215.0,18.0,69.0,6252.0,21013.2,82251.0,17.0,9.0,73,76.3,14,3133,2046
1074,University of Puerto Rico-Arecibo,261379.2,78.8,90.4,1100.0,1100.0,39.0,79.0,2014.0,13343.2,64548.0,0.0,0.0,59,76.3,22,3790,3493
1075,Salisbury University,261259.0,54.7,24.1,1100.0,1100.0,66.0,82.0,8128.0,12072.1,83844.0,20.0,1.0,59,76.3,16,8770,7350
1076,Rollins College,261012.9,57.3,19.4,1100.0,1100.0,71.0,83.0,41460.0,32275.6,97470.0,43.0,12.0,59,82.0,10,3207,2452
1077,Saint Joseph's University,260987.0,84.6,18.9,1100.0,1100.0,73.0,90.0,39040.0,20602.3,103770.0,57.0,1.0,57,76.3,13,8974,4671
1078,Worcester Polytechnic Institute,260808.0,43.8,23.6,1100.0,1100.0,85.0,97.0,42778.0,29555.2,109602.0,50.0,15.0,31,76.3,14,6381,4096
1079,Washington College,260806.4,55.7,13.1,1100.0,1100.0,74.0,85.0,41120.0,35307.1,96201.0,48.0,10.0,57,76.3,11,1485,1417
1080,Hampden-Sydney College,260797.9,47.3,18.7,1803.3,1486.7,67.0,83.0,37352.0,33218.4,91071.0,32.0,2.0,0,76.3,11,1105,1104
1081,Nebraska Methodist College of Nursing & Allied Health,260581.7,82.6,50.0,1770.0,1470.0,66.0,70.0,13302.0,16086.0,72963.0,13.0,0.0,90,61.0,12,1000,453
1082,Maharishi University of Management,260357.1,38.1,87.5,1100.0,1100.0,32.0,72.0,26430.0,13502.8,28161.0,52.0,24.0,33,76.3,11,1454,278
1083,Curry College,260128.7,86.9,13.9,1551.4,1290.0,45.0,71.0,34715.0,20225.3,94545.0,31.0,2.0,63,76.3,11,3141,2103
1084,Mount Marty College,260067.1,72.4,41.2,1590.0,1350.0,54.0,70.0,22892.0,11412.9,53379.0,34.0,0.0,59,43.0,10,1236,530
1085,Mount Carmel College of Nursing,260047.3,73.9,62.4,1650.0,1410.0,64.0,88.0,11675.0,13892.0,89012.8,2.0,0.0,90,76.3,12,1084,622
1086,Piedmont College,260003.4,57.5,47.4,1580.8,1313.0,50.0,73.0,20730.0,13392.0,68400.0,12.0,1.0,71,76.3,11,2120,1137
1087,Life University,259853.2,57.1,51.9,1100.0,1100.0,28.0,64.0,9747.0,16938.2,71901.0,36.0,2.0,48,61.0,12,2754,534
1088,Winston-Salem State University,259747.0,60.2,31.9,1378.4,1187.1,46.0,79.0,5468.0,20243.5,90423.0,7.0,1.0,72,68.0,14,5220,4098
1089,Robert Morris University Illinois,259729.5,24.3,83.7,1100.0,1100.0,47.0,50.0,22800.0,23641.5,64485.0,8.0,1.0,50,75.0,21,3205,2666
1090,Catawba College,259588.5,35.9,26.0,1100.0,1100.0,52.0,73.0,26820.0,33378.5,59202.0,30.0,0.0,53,76.3,13,1300,1218
1091,Vanguard University of Southern California,259582.5,58.0,40.3,1639.2,1262.3,55.0,75.0,29250.0,16504.1,61956.0,15.0,0.0,67,76.3,15,2255,1504
1092,Chestnut Hill College,259389.5,74.7,15.8,1624.9,1280.2,47.0,78.0,31170.0,15040.6,61893.0,41.0,1.0,70,76.3,9,2063,1180
1093,University of La Verne,259338.2,46.6,14.7,1636.3,1402.3,59.0,86.0,35000.0,15109.7,93501.0,4.0,5.0,59,54.0,17,8517,3642
1094,Warner University,259299.4,26.0,68.1,1379.6,1192.2,38.0,73.0,18430.0,11641.9,51813.0,5.0,3.0,50,65.0,17,1161,882
1095,Fort Hays State University,259295.9,87.9,47.9,1100.0,1100.0,43.0,68.0,4358.0,7465.7,78345.0,25.0,1.0,61,68.0,17,13825,5644
